"INSTANCE","WEIGHT","PROFIT","CORRELATION","DEF","MAXP","MAXPW","MINW","MARK","BEST","ORACLE"
"GA-MaxDefault_50_000.kp",0.583,0.46,0.489,NA,765,844,663,437,"MAXPW",844
"GA-MaxDefault_50_001.kp",0.619,0.538,0.412,1085,631,1055,NA,477,"DEF",1085
"GA-MaxDefault_50_002.kp",0.616,0.581,0.52,1026,661,991,826,490,"DEF",1026
"GA-MaxDefault_50_003.kp",0.637,0.436,0.539,NA,744,827,774,410,"MAXPW",827
"GA-MaxDefault_50_004.kp",0.634,0.492,0.572,923,619,874,821,NA,"DEF",923
"GA-MaxDefault_50_005.kp",0.637,0.461,0.444,902,723,875,843,460,"DEF",902
"GA-MaxDefault_50_006.kp",0.632,0.448,0.495,921,822,NA,750,600,"DEF",921
"GA-MaxDefault_50_007.kp",0.562,0.491,0.522,1043,NA,1031,910,584,"DEF",1043
"GA-MaxDefault_50_008.kp",0.573,0.513,0.606,NA,524,900,690,509,"MAXPW",900
"GA-MaxDefault_50_009.kp",0.624,0.542,0.537,860,701,848,690,447,"DEF",860
"GA-MaxDefault_50_010.kp",0.604,0.486,0.563,873,NA,832,746,442,"DEF",873
"GA-MaxDefault_50_011.kp",0.54,0.481,0.521,998,927,986,810,NA,"DEF",998
"GA-MaxDefault_50_012.kp",0.62,0.464,0.399,941,692,943,917,NA,"MAXPW",943
"GA-MaxDefault_50_013.kp",0.606,0.408,0.533,828,659,NA,709,394,"DEF",828
"GA-MaxDefault_50_014.kp",0.591,0.509,0.432,1249,994,1228,NA,468,"DEF",1249
"GA-MaxDefault_50_015.kp",0.562,0.547,0.573,935,735,921,NA,511,"DEF",935
"GA-MaxDefault_50_016.kp",0.613,0.476,0.372,1064,707,1040,859,521,"DEF",1064
"GA-MaxDefault_50_017.kp",0.691,0.476,0.515,821,499,818,616,461,"DEF",821
"GA-MaxDefault_50_018.kp",0.542,0.503,0.565,941,811,928,743,NA,"DEF",941
"GA-MaxDefault_50_019.kp",0.549,0.489,0.587,959,901,956,720,515,"DEF",959
"GA-MaxDefault_50_020.kp",0.605,0.469,0.539,787,683,NA,581,404,"DEF",787
"GA-MaxDefault_50_021.kp",0.691,0.502,0.461,870,702,880,868,471,"MAXPW",880
"GA-MaxDefault_50_022.kp",0.674,0.48,0.346,990,783,961,875,455,"DEF",990
