Problem Instance,Knapsack Limit,Profit,Weight,Knapsack State,Solution,Strategy
GA-DEF_EASY_100_000,64,696.0,62,0,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 2, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 2, 0, 2, 2, 0, 2, 2, 2, 0, 2, 2, 0, 0, 1, 2, 2, 2, 2, 1, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1, 1, 2, 0, 2, 1, 1, 2, 2, 2, 2, 1, 1, 1, 1, 0, None, 2, 2, 1, 0, 2, 1, 0, 1, 2, 1, 1, 2, 2, 0, 2, 1, 1, 1, 2, 2, 0, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 2, 1, 1, 1, 0, 0, 1]"
GA-DEF_EASY_100_001,64,683.0,63,0,"[0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 2, 0, 0, 0, 0, 2, 0, 2, 1, 0, 1, 0, 2, 0, 1, 1, 1, 0, 1, 0, 0, 2, 0, 0, 0, 2, 2, 2, 1, 1, 1, 0, 1, 2, 2, 1, 2, 2, 1, 2, 2, 1, None, 0, 1, 0, 2, 0, None, 0, 2, 1, 0, 1, 2, 1, 2, 2, 0, 1, 2, 2, 2, 1, 1, 0, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 0, 0, 1, 0, 0, 1, 0, 1, 2, 2, 2, 2, 2, 1, 1, 1, 0, 2]"
GA-DEF_EASY_100_002,64,516.0,58,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 2, 0, 2, 1, 1, 1, 1, 0, 2, 0, 1, 1, 2, 0, 2, 1, 0, 2, 2, 1, 0, 1, 1, 2, 1, 1, 2, 0, 0, 0, 1, 2, 0, 1, 2, 2, 2, 0, 2, 2, 2, 0, 1, 1, 2, 2, 2, 0, 1, 1, 1, 2, 0, 0, 2, 2, 2, 0, 1, 2, 2, 1, 0, 1, 2, 1, 2, 0, 0, 0, 1, 1, 2, 0, 1, 2, 0, 0, 0, 1, 2, 0, 1, 0, 0, 2, 0, 0, 0, 1, 0, 2, 2, 0, 1, 1, None, 1]"
GA-DEF_EASY_100_003,64,1046.0,64,0,"[1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 2, 1, 2, 1, 0, 2, 1, 0, 2, 0, 0, 1, 0, 2, 1, 2, 1, 0, 0, 0, 1, 1, 2, 2, 0, 2, 2, None, 0, 2, 1, 0, 1, 0, 0, 1, 2, 2, 1, 1, 1, 0, 1, 0, 0, 2, 1, 0, 0, 1, 2, 2, 2, 2, 1, 1, 0, 2, 2, 2, 0, 2, 1, 2, 2, 0, 1, 1, 0, 0, 1, 0, 2, 2, 0, 2, 0, 1, 2, 2, 0, 2, 1, 2, 0, 2, 1, 1, 2, 0, 0, 0, 1, 2, 1, 0, 1, 2, 0]"
GA-DEF_EASY_100_004,64,625.0,54,0,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 2, 0, 0, 1, 1, 1, 2, 0, 2, 2, 2, 0, 0, 2, 0, 0, 2, 1, 2, 0, 0, 0, 1, 1, 2, 1, 2, 2, 0, 1, 2, 1, 2, 1, 2, 1, 0, 0, 1, 1, 1, 0, 2, 1, 0, 1, 2, 2, 0, 2, 2, 1, 1, 1, 0, 1, 2, 0, 1, 1, 2, 2, 2, 2, 0, 1, 2, 0, 2, 1, 0, 2, 1, 2, 0, 0, 1, 2, 0, 2, 2, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 2, 0, 0, 2]"
GA-DEF_EASY_100_005,64,691.0,62,0,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 2, 1, 0, 1, 2, 1, 0, 0, 1, 2, 1, 2, 0, 0, 0, 2, 0, 2, 1, 1, 1, 0, 0, 2, 1, 1, 2, 2, 0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 1, 2, 0, 0, 0, 2, 0, 2, 1, 2, 2, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 2, 2, 2, 1, 0, 1, 1, 1, 2, 2, 1, 1, 0, 0, 2, 0, 0, 2, 0, 1, 2, 2, 2, 2]"
GA-DEF_EASY_100_006,64,570.0,60,0,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 2, 0, 2, 0, 1, 0, 1, 0, 2, 2, 0, 0, 1, 1, 1, 2, 2, 0, 2, 1, 2, 0, 0, 0, 1, 0, 0, 0, 2, 2, 0, 1, 1, 0, 1, 2, 2, 2, 1, 0, 1, 2, 0, 0, 1, 2, 2, 1, 1, 1, 0, 2, 1, 1, 2, 0, 0, 1, 2, 0, 0, 1, 2, 2, 2, 0, 2, 0, 0, 1, 1, 2, 0, 0, 2, 1, 1, 2, 1, 0, 1, 2, 1, 2, 0, 0, 0, 2, 2, 2, 1, 2, 1, 2, 2, 0, 1, 2]"
GA-DEF_EASY_100_007,64,702.0,62,0,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 2, 1, 2, 1, 2, 0, 1, 2, 1, 2, 1, 0, 2, 0, 1, 2, 0, 2, 0, 2, 1, 0, 0, 2, 0, 2, 0, 2, 1, 2, 0, 0, 2, 1, 1, 0, 1, 2, 2, 2, 0, 1, 0, 2, 2, 0, 1, 2, 1, 2, 0, 2, 1, 1, 1, 0, 0, 1, 2, 0, 2, 2, 1, 1, 0, 0, 0, 2, 2, 2, 1, 2, 2, 0, 2, 1, 1, 2, 2, 2, 0, 1, 1, 2, 2, 2, 2, 0, None, 0, 1, 1, 2, 2, 2, 0, 2, 0]"
GA-DEF_EASY_100_008,64,618.0,64,0,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[2, 0, 0, 2, 0, 1, 1, 2, 0, 2, 2, 0, 0, 0, 2, 2, 1, 0, None, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 2, 1, 2, 2, 0, 2, 0, 1, 0, 0, 1, 2, 2, 2, 1, 2, 2, 1, 0, 2, 0, 2, 2, 1, 1, 0, 2, 2, 2, 0, 2, 2, 1, 2, 2, 2, 0, 1, 0, 0, 0, 2, 1, 2, 0, 2, 1, 0, 1, 2, 1, 1, 1, 0, 2, 1, 2, 0, 0, 2, 0, 2, 1, 2, 2, 1, 2, 0, 1, 2]"
GA-DEF_EASY_100_009,64,594.0,64,0,"[1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 0, 2, 0, 2, 2, 2, 0, 1, 1, 0, 1, 2, 0, 1, 2, 1, 2, 0, 0, 1, 0, 1, 1, 2, 0, 2, 1, 2, 1, 2, 1, 0, 0, 2, 0, 0, 1, 2, 0, 2, 1, 2, 2, 0, 0, 0, 1, 1, 2, 0, 2, 2, 1, 0, 2, 0, 0, 2, 1, 1, 1, 2, 0, 2, 0, 0, 2, 2, 0, 0, 2, 0, 0, 0, 1, 1, 1, 2, 1, 2, 2, 0, 2, 2, 1, 1, 1, 0, 2, 1, 1, 2, 2, 0, 2, 0, 1, 2]"
