INSTANCE,DEF,MAXP,MAXPW,MINW,PBMH,GA
GA-DEF_EASY_100_000,686,506,613,613,696.0,622.0
GA-DEF_EASY_100_001,704,311,643,507,683.0,465.0
GA-DEF_EASY_100_002,571,272,513,486,516.0,417.0
GA-DEF_EASY_100_003,1046,711,975,975,1046.0,824.0
GA-DEF_EASY_100_004,691,352,625,625,625.0,512.0
GA-DEF_EASY_100_005,751,358,679,609,691.0,508.0
GA-DEF_EASY_100_006,644,171,570,570,570.0,492.0
GA-DEF_EASY_100_007,681,381,605,605,702.0,577.0
GA-DEF_EASY_100_008,687,250,618,618,618.0,376.0
GA-DEF_EASY_100_009,638,366,576,481,594.0,437.0
GA-DEF_EASY_100_010,845,481,779,779,845.0,571.0
GA-DEF_EASY_100_011,773,352,687,661,773.0,578.0
GA-DEF_EASY_100_012,808,367,737,622,770.0,599.0
GA-DEF_EASY_100_013,604,303,524,524,584.0,487.0
GA-DEF_EASY_100_014,725,224,653,602,667.0,514.0
GA-DEF_EASY_100_015,777,573,708,708,777.0,743.0
GA-DEF_EASY_100_016,684,252,605,605,613.0,471.0
GA-DEF_EASY_100_017,792,355,716,625,716.0,511.0
GA-DEF_EASY_100_018,1007,450,940,918,940.0,636.0
GA-DEF_EASY_100_019,787,544,722,622,760.0,514.0
GA-DEF_EASY_100_020,713,627,646,578,652.0,527.0
GA-DEF_EASY_100_021,816,571,755,755,755.0,534.0
GA-DEF_EASY_100_022,619,317,553,429,579.0,510.0
GA-DEF_EASY_100_023,608,332,522,415,608.0,484.0
GA-DEF_EASY_100_024,677,254,596,596,596.0,541.0
GA-DEF_EASY_100_025,900,513,819,609,825.0,658.0
GA-DEF_EASY_100_026,637,165,570,528,624.0,481.0
GA-DEF_EASY_100_027,807,436,729,625,737.0,634.0
GA-DEF_EASY_100_028,820,342,749,759,799.0,694.0
GA-DEF_EASY_100_029,833,686,761,694,833.0,558.0
GA-DEF_EASY_100_030,826,457,757,757,826.0,757.0
GA-DEF_EASY_100_031,623,474,549,549,623.0,447.0
GA-DEF_EASY_100_032,579,251,506,449,531.0,500.0
GA-DEF_EASY_100_033,614,500,545,430,614.0,462.0
GA-DEF_EASY_100_034,772,586,708,708,708.0,580.0
GA-DEF_EASY_100_035,682,538,598,598,647.0,476.0
GA-DEF_EASY_100_036,798,361,724,673,753.0,545.0
GA-DEF_EASY_100_037,768,255,703,620,736.0,515.0
GA-DEF_EASY_100_038,556,431,493,412,556.0,412.0
GA-DEF_EASY_100_039,658,251,586,503,587.0,507.0
GA-DEF_EASY_100_040,667,556,568,568,667.0,455.0
GA-DEF_EASY_100_041,781,559,702,702,702.0,788.0
GA-DEF_EASY_100_042,873,452,802,776,860.0,761.0
GA-DEF_EASY_100_043,609,345,545,528,609.0,467.0
GA-DEF_EASY_100_044,642,238,568,487,572.0,438.0
GA-DEF_EASY_100_045,707,483,630,630,702.0,518.0
GA-DEF_EASY_100_046,748,199,671,671,671.0,434.0
