INSTANCE,DEF,MAXP,MAXPW,MINW,CAHH_W,CAHH_W_P
GA-DEF_EASY_100_000,686,506,613,613,686.0,613.0
GA-DEF_EASY_100_001,704,311,643,507,683.0,643.0
GA-DEF_EASY_100_002,571,272,513,486,496.0,513.0
GA-DEF_EASY_100_003,1046,711,975,975,696.0,975.0
GA-DEF_EASY_100_004,691,352,625,625,648.0,625.0
GA-DEF_EASY_100_005,751,358,679,609,751.0,679.0
GA-DEF_EASY_100_006,644,171,570,570,644.0,570.0
GA-DEF_EASY_100_007,681,381,605,605,603.0,605.0
GA-DEF_EASY_100_008,687,250,618,618,687.0,618.0
GA-DEF_EASY_100_009,638,366,576,481,638.0,576.0
GA-DEF_EASY_100_010,845,481,779,779,845.0,779.0
GA-DEF_EASY_100_011,773,352,687,661,728.0,687.0
GA-DEF_EASY_100_012,808,367,737,622,722.0,737.0
GA-DEF_EASY_100_013,604,303,524,524,538.0,524.0
GA-DEF_EASY_100_014,725,224,653,602,725.0,653.0
GA-DEF_EASY_100_015,777,573,708,708,694.0,708.0
GA-DEF_EASY_100_016,684,252,605,605,643.0,605.0
GA-DEF_EASY_100_017,792,355,716,625,792.0,716.0
GA-DEF_EASY_100_018,1007,450,940,918,1007.0,940.0
GA-DEF_EASY_100_019,787,544,722,622,760.0,722.0
GA-DEF_EASY_100_020,713,627,646,578,699.0,646.0
GA-DEF_EASY_100_021,816,571,755,755,816.0,755.0
GA-DEF_EASY_100_022,619,317,553,429,592.0,553.0
GA-DEF_EASY_100_023,608,332,522,415,608.0,522.0
GA-DEF_EASY_100_024,677,254,596,596,676.0,596.0
GA-DEF_EASY_100_025,900,513,819,609,900.0,819.0
GA-DEF_EASY_100_026,637,165,570,528,640.0,570.0
GA-DEF_EASY_100_027,807,436,729,625,807.0,729.0
GA-DEF_EASY_100_028,820,342,749,759,820.0,749.0
GA-DEF_EASY_100_029,833,686,761,694,833.0,761.0
GA-DEF_EASY_100_030,826,457,757,757,803.0,757.0
GA-DEF_EASY_100_031,623,474,549,549,623.0,549.0
GA-DEF_EASY_100_032,579,251,506,449,579.0,506.0
GA-DEF_EASY_100_033,614,500,545,430,602.0,545.0
GA-DEF_EASY_100_034,772,586,708,708,772.0,708.0
GA-DEF_EASY_100_035,682,538,598,598,682.0,598.0
GA-DEF_EASY_100_036,798,361,724,673,753.0,724.0
GA-DEF_EASY_100_037,768,255,703,620,726.0,703.0
GA-DEF_EASY_100_038,556,431,493,412,556.0,493.0
GA-DEF_EASY_100_039,658,251,586,503,658.0,586.0
GA-DEF_EASY_100_040,667,556,568,568,667.0,568.0
GA-DEF_EASY_100_041,781,559,702,702,788.0,702.0
GA-DEF_EASY_100_042,873,452,802,776,873.0,802.0
GA-DEF_EASY_100_043,609,345,545,528,609.0,545.0
GA-DEF_EASY_100_044,642,238,568,487,620.0,568.0
GA-DEF_EASY_100_045,707,483,630,630,707.0,630.0
GA-DEF_EASY_100_046,748,199,671,671,748.0,671.0
GA-DEF_EASY_100_047,691,284,629,608,691.0,629.0
GA-DEF_EASY_100_048,755,262,682,574,755.0,682.0
GA-DEF_EASY_100_049,472,264,394,274,472.0,394.0
GA-DEF_EASY_100_050,902,499,831,831,902.0,831.0
GA-DEF_EASY_100_051,690,389,616,507,591.0,616.0
GA-DEF_EASY_100_052,806,496,730,730,791.0,730.0
GA-DEF_EASY_100_053,723,452,652,652,723.0,652.0
GA-DEF_EASY_100_054,610,485,538,434,610.0,538.0
GA-DEF_EASY_100_055,685,235,614,506,669.0,614.0
GA-DEF_EASY_100_056,648,214,567,567,648.0,567.0
GA-DEF_EASY_100_057,709,629,643,430,709.0,643.0
GA-DEF_EASY_100_058,1074,808,996,996,1006.0,996.0
GA-DEF_EASY_100_059,814,557,744,638,788.0,744.0
GA-DEF_EASY_100_060,799,542,720,607,784.0,720.0
GA-DEF_EASY_100_061,793,128,724,724,793.0,724.0
GA-DEF_EASY_100_062,987,603,926,926,987.0,926.0
GA-DEF_EASY_100_063,694,508,621,514,694.0,621.0
GA-DEF_EASY_100_064,803,553,716,716,803.0,716.0
GA-DEF_EASY_100_065,798,542,728,728,798.0,728.0
GA-DEF_EASY_100_066,558,314,492,400,483.0,492.0
GA-DEF_EASY_100_067,891,445,810,741,846.0,810.0
GA-DEF_EASY_100_068,696,480,608,608,696.0,608.0
GA-DEF_EASY_100_069,749,450,667,653,667.0,667.0
GA-DEF_EASY_100_070,694,521,620,412,694.0,620.0
GA-DEF_EASY_100_071,710,523,638,606,710.0,638.0
GA-DEF_EASY_100_072,611,246,542,542,611.0,542.0
GA-DEF_EASY_100_073,715,359,644,472,618.0,644.0
GA-DEF_EASY_100_074,963,790,890,684,963.0,890.0
GA-DEF_EASY_100_075,687,535,611,507,687.0,611.0
GA-DEF_EASY_100_076,666,381,585,472,666.0,585.0
GA-DEF_EASY_100_077,708,155,634,523,708.0,634.0
GA-DEF_EASY_100_078,640,497,583,492,563.0,583.0
GA-DEF_EASY_100_079,803,493,704,697,803.0,704.0
GA-DEF_EASY_100_080,704,431,641,556,704.0,641.0
GA-DEF_EASY_100_081,793,357,709,709,796.0,709.0
GA-DEF_EASY_100_082,547,315,481,391,508.0,481.0
GA-DEF_EASY_100_083,816,525,732,732,816.0,732.0
GA-DEF_EASY_100_084,625,348,561,561,561.0,561.0
GA-DEF_EASY_100_085,906,609,830,830,906.0,830.0
